HUB NAME	DOR	QUADS	COMM	Iceboot		Hi Current				
sps-ichub28	8	15	58	58     c5p0-p(u)-c(b,ok)-v(b,ok);c5p1-p(u)-c(ok,ok)-v(ok,ok) 
sps-ichub19	8	15	60	60
#sps-ichub19	8	15	58	58     c7p1-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub20	8	15	60	60
sps-ichub13     8       15      58      58     c4p1-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub12     8       15      60      60
sps-ichub11     8       15      58      58	c0p0-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub10     8       15      60      60
sps-ichub06     8       15      60      60
sps-ichub05     8       15      58      58	c2p2-p(ok)-c(b,ok)-v(ok,ok)   
sps-ichub37	8	15	60	60
sps-ichub17     8	15	60	60    
sps-ichub26	8	15	59	59    
sps-ichub83	8	15	60	60
sps-ichub02	8	15	60	60
sps-ichub03	8	15	60	60
sps-ichub04	8	15	60	60
sps-ichub08	8	15	58	58	c7p1-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub09	8	15	58	58      c1p3-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub15	8	15	60	60
sps-ichub16	8	15	60	60
sps-ichub23	8	15	60	60	
sps-ichub24	8	15	59	59
sps-ichub25	8	15	60	60	
sps-ichub32	8	15	58	58      c7p0-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub33	8	15	60	60      
sps-ichub34	8	15	53	53      c1p1-p(ok)-c(b,ok)-v(ok,ok);c1p2-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub35	8	15	60	60	
sps-ichub51	8	15	58	58	c3p1-p(ok)-c(b,ok)-v(ok,ok);
sps-ichub79	8	15	58	58	c6p3-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub80	8	15	60	60	
sps-ichub81	8	15	60	60
sps-ichub82	8	15	60	60
#sps-ichub82     8       14      56      56
sps-ichub84	8	15	60	60
sps-ichub85	8	15	60	60
sps-ichub86	8	15	58	58       c3p1-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub43     8       15      60      60
sps-ithub09     8       16      32      32
sps-ithub10     8       12      24      24
sps-ithub11	8	16	32	32
sps-ichub31	8	15	60	60
sps-ichub01	8	15	60	60	
sps-ichub07	8	14	50	50	c4p1-p(ok)-c(b,ok)-v(ok,ok);c5p0-p(ok)-c(b,ok)-v(ok,ok);c5p2-p(ok)-c(b,ok)-v(ok,ok)
sps-ichub22	8	15	60	60	
sps-ichub14	8	15	60	60
